ano,id_municipio,expectativa_anos_estudo,taxa_analfabetismo_15_a_17,taxa_atraso_0_medio,taxa_freq_bruta_medio,taxa_freq_15_17,indice_gini,idhm_e,idhm_l,idhm_r
2010,1508308,6.97,8.14,43.19,46.09,82.66,0.62,0.366,0.776,0.482
2010,1508357,8.41,4.63,53.29,71.39,78.67,0.6,0.451,0.792,0.594
2010,1508407,8.38,2.27,74.99,50.31,74.61,0.55,0.503,0.8,0.671
2010,1600055,10.57,1.86,78.14,90.05,88.68,0.6,0.692,0.783,0.659
2010,1600105,8.68,1.95,69.26,69.72,80.01,0.66,0.532,0.79,0.631
2010,1600154,7.5,6.55,62.37,42.49,77.87,0.61,0.502,0.779,0.628
2010,1600204,8.9,2.83,70.39,64.66,77.83,0.67,0.55,0.759,0.636
2010,1600212,9.9,2.0,63.97,88.86,84.53,0.61,0.566,0.76,0.576
2010,1600238,9.05,3.99,74.78,67.0,77.7,0.6,0.542,0.82,0.635
2010,1600253,8.33,4.06,54.29,63.9,88.03,0.61,0.477,0.758,0.528
2010,1600279,9.15,2.12,53.32,81.82,87.05,0.55,0.573,0.801,0.641
2010,1600303,9.6,1.94,72.95,78.24,82.91,0.59,0.663,0.82,0.723
2010,1600402,8.3,5.49,53.29,43.66,77.03,0.65,0.449,0.758,0.609
2010,1600501,8.55,2.5,61.57,81.58,79.36,0.69,0.527,0.779,0.693
2010,1600535,9.29,3.13,62.65,63.57,80.15,0.56,0.554,0.777,0.61
2010,1600550,9.71,2.23,70.77,78.25,72.99,0.65,0.544,0.79,0.539
2010,1600600,9.91,2.08,67.61,82.81,86.19,0.55,0.638,0.794,0.654
2010,1600709,8.51,2.46,54.21,52.23,76.52,0.65,0.473,0.794,0.553
2010,1600808,8.62,3.56,53.78,82.2,90.41,0.58,0.517,0.781,0.587
2010,1700251,7.24,2.61,64.54,105.0,86.8,0.71,0.502,0.835,0.7
